"";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS";"changes";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS"
"148";Abrantes;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"149";Alcanena;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"150";ConstÅ ncia;5;3;1;4;2;PPD.PSD : { CDS.PP };5;4;1;2.5;2.5
"151";Entroncamento;4;5;3;2;1;CDS.PP : { BE ^ PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;2.5;2.5;1;4
"152";Macao;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"153";Ourem;5;2;4;2;1;PPD.PSD : { PS };5;3;4;1;2
"154";Serta;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"155";Tomar;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"156";Torres Novas;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"157";Vila de Rei;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"158";Vila Nova da Barquinha;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"159";Almeida;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"160";Belmonte;4;3;2;4;1;PCP.PEV : { PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;4;2;1;3
"161";Celorico da Beira;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"162";Covilha;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS };5;4;1;2.5;2.5
"163";Figueira de Castelo Rodrigo;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"164";Fornos de Algodres;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"165";Fundao;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"166";Gouveia;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"167";Guarda;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"168";Manteigas;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"169";Muda;5;2;4;3;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP ^ PS };5;4;2;1;3
"170";Pinhel;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"171";Sabugal;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"172";Seia;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"173";Trancoso;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"174";Alcochete;5;3;1;4;2;CDS.PP : { PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;2.5;2.5;1;4
"175";Amadora;5;3;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"176";Barreiro;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PS };5;4;1;2;3
"177";Cascais;5;1;4;1;3;PS : { CDS.PP ^ PPD.PSD };-1;-3;-2;-4;-5
"178";Lisboa;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"179";Loures;4;5;1;3;2;PS : { PCP.PEV };4;5;2;3;1
"180";Mafra;5;4;3;1;2;CDS.PP : { PCP.PEV }  ^  PS : { PPD.PSD };-1;-3;-2;-4;-5
"181";Moita;3;5;1;4;2;CDS.PP : { BE }  ^  PPD.PSD : { BE ^ PCP.PEV }  ^  PS : { PCP.PEV };5;4;3;1.5;1.5
"182";Montijo;4;5;2;3;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"183";Odivelas;4;5;2;3;1;CDS.PP : { BE };5;4;2.5;2.5;1
"184";Oeiras;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"185";Palmela;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"186";Seixal;4;5;1;3;2;CDS.PP : { BE };5;4;1;3;2
"187";Sintra;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PPD.PSD };5;4;1.5;3;1.5
"188";Vila Franca de Xira;4;5;2;3;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"189";AlcËcer do Sal;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"190";Grandola;3;4;1;4;2;CDS.PP : { BE ^ PCP.PEV }  ^  PPD.PSD : { BE ^ PCP.PEV }  ^  PS : { PCP.PEV };-1;-3;-2;-4;-5
"191";Odemira;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"192";Santiago do Cacem;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PS };5;4;1;2;3
"193";Sines;5;4;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"194";Aljustrel;5;3;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;2.5;2.5;1;4
"195";Almodavar;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"196";Alvito;5;3;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"197";Barrancos;3;3;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"198";Beja;5;3;1;3;2;CDS.PP : { PCP.PEV }  ^  PPD.PSD : { PCP.PEV }  ^  PS : { PCP.PEV };-1;-3;-2;-4;-5
"199";Castro Verde;5;3;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"200";Cuba;5;3;1;3;2;PPD.PSD : { PS };5;3.5;1;2;3.5
"201";Ferreira do Alentejo;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"202";Mertola;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"203";Moura;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PS };5;3;1;2;4
"204";Ourique;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"205";Serpa;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"206";Vidigueira;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"207";Almeirim;5;2;2;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"208";AlpiarÂa;4;4;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"209";Azambuja;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"210";Benavente;5;4;1;3;2;CDS.PP : { PCP.PEV }  ^  PPD.PSD : { PCP.PEV }  ^  PS : { PCP.PEV };-1;-3;-2;-4;-5
"211";Cartaxo;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"212";Chamusca;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"213";Coruche;5;4;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;2.5;2.5;1;4
"214";Golego;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"215";Rio Maior;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"216";Salvaterra de Magos;2;4;3;4;1;CDS.PP : { BE }  ^  PCP.PEV : { BE ^ PS }  ^  PPD.PSD : { BE ^ PCP.PEV ^ PS };5;4;2;1;3
"217";Santarem;4;5;3;1;2;CDS.PP : { BE }  ^  PCP.PEV : { PS };5;4;2;1;3
"218";Alter do Châ o;5;4;3;1;2;CDS.PP : { PCP.PEV }  ^  PS : { PPD.PSD };-1;-3;-2;-4;-5
"219";Arronches;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"220";Avis;4;4;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"221";Campo Maior;4;5;2;3;1;CDS.PP : { BE ^ PCP.PEV }  ^  PPD.PSD : { PCP.PEV };-1;-3;-2;-4;-5
"222";Castelo de Vide;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"223";Crato;4;4;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"224";Elvas;5;2;4;3;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP ^ PS };5;4;2;1;3
