;;Resultados 2017;;;;;diff;changes from 2013;Previsoes;;;;
;Municipios;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;;none;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
120;Montemor-o-Velho;3;4;2;4;1;none;none;1;NA;1;NA;-1
121;Mortí†ŒÊgua;5;3;4;1;2;none;none;1;NA;NA;-1;-1
122;Oliveira do Hospital;4;4;3;2;1;none;none;1;NA;1;NA;-1
123;Pampilhosa da Serra;4;4;3;1;2;none;none;1;NA;-1;NA;-1
124;Penacova;5;4;3;2;1;none;none;1;NA;-1;NA;-1
125;Penela;4;4;3;1;2;none;none;1;NA;1;NA;-1
126;Soure;3;3;2;3;1;none;none;1;NA;-1;NA;-1
127;Tí†ŒÊbua;5;4;3;2;1;none;none;1;NA;-1;NA;-1
128;Vila Nova de Poiares;4;4;3;2;1;none;none;1;NA;-1;NA;-1
129;Alvaií†ŒÊzere;5;3;4;1;2;none;none;1;NA;-1;NA;-1
130;Ansií¢ŒóŒæo;5;3;4;2;1;none;none;1;NA;1;NA;-1
131;Batalha;5;3;4;1;2;none;none;1;NA;NA;-1;-1
132;Castanheira de Pí‰Œêra;4;4;3;1;2;none;none;1;NA;NA;-1;-1
133;Figueiro dos Vinhos;3;3;2;3;1;none;none;1;NA;-1;NA;-1
134;Leiria;3;2;4;5;1;PPD.PSD : { BE };PPD.PSD : { PCP.PEV };1;NA;NA;-1;-1
135;Marinha Grande;3;4;2;4;1;PPD.PSD : { BE ^ PCP.PEV };none;1;NA;1;-1;-1
136;Pedrogao Grande;5;4;3;2;1;none;none;1;NA;-1;NA;-1
137;Pombal;4;3;5;1;2;none;none;1;NA;NA;-1;-1
138;Porto de Mos;4;4;3;1;2;none;none;1;NA;-1;NA;-1
139;Aguiar da Beira;4;2;3;1;4;none;none;1;NA;-1;NA;-1
140;Carregal do Sal;4;4;3;2;1;none;none;1;NA;1;NA;-1
141;Castro Daire;3;3;2;3;1;none;none;1;NA;-1;NA;-1
142;Mangualde;4;4;3;2;1;none;none;1;NA;-1;NA;-1
143;Nelas;5;2;4;3;1;none;PCP.PEV : { BE };1;NA;1;-1;NA
144;Oliveira de Frades;3;3;2;3;1;none;none;1;NA;-1;NA;-1
145;Penalva do Castelo;3;3;2;3;1;PPD.PSD : { PCP.PEV };none;1;NA;1;-1;NA
146;Santa Comba Dao;3;3;2;3;1;none;none;1;NA;NA;-1;-1
147;Sao Pedro do Sul;4;4;3;2;1;none;none;1;NA;1;NA;-1
148;Sí†ŒÊtao;3;3;2;1;3;PS : { PCP.PEV };none;1;NA;1;NA;-1
149;Tondela;5;3;4;1;2;none;none;1;NA;NA;-1;-1
