;;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;changes;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
113;Condeixa-a-Nova;3;5;4;2;1;none;1;NA;NA;-1;-1
114;Figueira da Foz;5;2;4;2;1;none;1;NA;NA;-1;-1
115;Gois;4;2;3;4;1;none;1;NA;-1;NA;-1
116;Lousa;4;2;5;2;1;none;1;NA;NA;-1;-1
117;Mealhada;5;2;4;2;1;none;1;NA;NA;-1;-1
118;Mira;5;4;3;1;2;none;1;NA;-1;NA;-1
119;Miranda do Corvo;5;2;4;2;1;none;1;NA;-1;NA;-1
120;Montemor-o-Velho;5;2;4;2;1;none;1;NA;1;NA;-1
121;MortÃ‹Â†gua;5;3;4;1;2;none;1;NA;NA;-1;-1
122;Oliveira do Hospital;5;3;4;2;1;none;1;NA;1;NA;-1
123;Pampilhosa da Serra;4;4;3;1;2;none;1;NA;-1;NA;-1
124;Penacova;5;2;4;2;1;none;1;NA;-1;NA;-1
125;Penela;5;4;3;1;2;none;1;NA;1;NA;-1
126;Soure;5;2;4;2;1;none;1;NA;-1;NA;-1
127;TÃ‹Â†bua;5;2;4;2;1;none;1;NA;-1;NA;-1
128;Vila Nova de Poiares;5;4;3;2;1;none;1;NA;-1;NA;-1
129;AlvaiÃ‹Â†zere;5;3;4;1;2;none;1;NA;-1;NA;-1
130;AnsiÃ¢Â€Â o;5;3;4;1;2;none;1;NA;1;NA;-1
131;Batalha;5;3;4;1;2;none;1;NA;NA;-1;-1
132;Castanheira de PÃ‚Âêra;5;3;4;2;1;none;1;NA;NA;-1;-1
133;Figueiro dos Vinhos;5;3;4;2;1;none;1;NA;-1;NA;-1
134;Leiria;5;3;4;2;1;none;1;NA;NA;-1;-1
135;Marinha Grande;4;5;2;3;1;PPD.PSD : { PCP.PEV };1;NA;1;-1;-1
136;Pedrogao Grande;4;4;3;1;2;none;1;NA;-1;NA;-1
137;Pombal;5;3;4;1;2;none;1;NA;NA;-1;-1
138;Porto de Mos;5;3;4;2;1;none;1;NA;-1;NA;-1
139;Aguiar da Beira;3;3;2;1;3;none;1;NA;-1;NA;-1
140;Carregal do Sal;5;3;4;2;1;none;1;NA;1;NA;-1
141;Castro Daire;5;3;4;2;1;none;1;NA;-1;NA;-1
142;Mangualde;5;2;4;2;1;none;1;NA;-1;NA;-1
143;Nelas;5;2;4;2;1;none;1;NA;1;-1;NA
144;Oliveira de Frades;4;1;5;1;3;PCP.PEV : { BE };1;NA;-1;NA;-1
145;Penalva do Castelo;5;2;4;2;1;none;1;NA;1;-1;NA
146;Santa Comba Dao;5;3;4;2;1;none;1;NA;NA;-1;-1
147;Sao Pedro do Sul;3;5;4;2;1;none;1;NA;1;NA;-1
148;SÃ‹Â†tao;5;3;4;1;2;none;1;NA;1;NA;-1
149;Tondela;5;3;4;1;2;none;1;NA;NA;-1;-1
150;Vila Nova de Paiva;5;3;4;2;1;none;1;NA;-1;NA;-1
151;Viseu;5;3;4;1;2;none;1;NA;-1;NA;-1
152;Vouzela;3;4;5;1;2;none;1;NA;1;NA;-1
153;Castelo Branco;5;4;3;2;1;none;1;NA;NA;-1;-1
154;Idanha-a-Nova;5;4;3;2;1;none;1;NA;-1;NA;-1
