Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidad‹os;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Voters Total;Voters Voting;Voters Abstention;Residents Total;Residents 0-14;Residents 15-64;Residents 65+;Population without Education;Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;Employees per Sector Construction;Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;Employees per Economic Sector Banks;Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;Unemployment <25
îbidos;5426.0;0.0;194.0;0.0;0.0;0.0;0.0;0.0;0.0;387.0;0.0;0.0;0.0;2511.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2334.0;0.0;0.0;0.0;b>a>c>d>e;10536.0;5823.0;4713.0;11726.0;1681.0;7342.0;2703.0;1370.0;1457.0;45.0;789.3;3558.0;486.0;0.0;294.0;331.0;810.0;249.0;18.0;12.0;25.0;624.2;76.0
Peniche;10154.0;218.0;229.0;0.0;0.0;0.0;0.0;0.0;0.0;4535.0;0.0;0.0;0.0;2512.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2660.0;0.0;0.0;0.0;b>a>c>d>e;25384.0;10974.0;14410.0;27305.0;4112.0;17612.0;5581.0;2850.0;3158.0;45.0;737.2;7009.0;951.0;0.0;1681.0;613.0;1520.0;273.0;56.0;16.0;67.0;1682.3;214.8
Sobral de Monte Agraço;4402.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2244.0;0.0;0.0;0.0;0.0;851.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1307.0;0.0;0.0;0.0;a>b>c>d>e;8041.0;4622.0;3419.0;10202.0;1680.0;6767.0;1756.0;951.0;1324.0;23.0;717.4;2555.0;162.0;0.0;572.0;235.0;635.0;174.0;24.0;0.0;7.0;531.4;57.3
Torres Vedras;31635.0;670.0;0.0;0.0;1541.0;0.0;1184.0;0.0;0.0;2914.0;0.0;0.0;162.0;6707.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18457.0;0.0;0.0;0.0;d>a>b>c>e;66871.0;34015.0;32856.0;79314.0;12021.0;51627.0;15667.0;7616.0;10130.0;219.0;778.4;24537.0;2767.0;5.0;4849.0;2499.0;6335.0;1287.0;185.0;80.0;144.0;4587.8;609.2
çgueda;21916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;910.0;0.0;0.0;0.0;0.0;6899.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14107.0;0.0;0.0;0.0;a>b>c>d>e;43762.0;23521.0;20241.0;47249.0;6321.0;31385.0;9544.0;4116.0;5589.0;112.0;798.1;18344.0;434.0;45.0;9519.0;1114.0;3912.0;605.0;132.0;28.0;58.0;2719.2;402.4
Albergaria-a-Velha;12447.0;203.0;5701.0;0.0;0.0;0.0;0.0;0.0;0.0;379.0;0.0;0.0;0.0;4857.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1307.0;0.0;0.0;0.0;b>a>c>d>e;22811.0;13110.0;9701.0;24816.0;3545.0;16753.0;4518.0;2092.0;2783.0;71.0;804.1;7858.0;371.0;0.0;3283.0;754.0;1434.0;275.0;55.0;0.0;24.0;1321.9;178.8
Anadia;14383.0;0.0;556.0;0.0;0.0;0.0;6377.0;0.0;0.0;476.0;0.0;0.0;0.0;4846.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2128.0;0.0;0.0;0.0;b>a>c>d>e;28424.0;15395.0;13029.0;28501.0;3455.0;18165.0;6882.0;3342.0;3287.0;53.0;780.7;8557.0;863.0;0.0;3373.0;771.0;1421.0;424.0;57.0;15.0;28.0;1406.4;163.2
Aveiro;31529.0;1366.0;0.0;0.0;0.0;0.0;3480.0;0.0;0.0;1259.0;235.0;0.0;123.0;0.0;0.0;0.0;0.0;16694.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8372.0;0.0;0.0;0.0;a>b>c>d>e;70132.0;34330.0;35802.0;77452.0;11271.0;52525.0;13656.0;4769.0;10510.0;256.0;926.7;27386.0;438.0;15.0;7238.0;1429.0;5232.0;2742.0;357.0;0.0;116.0;4722.8;593.3
Estarreja;11411.0;0.0;0.0;0.0;0.0;0.0;978.0;0.0;0.0;1017.0;0.0;0.0;0.0;0.0;5253.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4163.0;0.0;0.0;0.0;a>b>c>d>e;24852.0;12214.0;12638.0;26633.0;3705.0;17664.0;5264.0;2402.0;2878.0;52.0;862.4;7172.0;352.0;0.0;2103.0;698.0;1452.0;536.0;59.0;13.0;25.0;1533.5;238.7
êlhavo;12868.0;598.0;1125.0;0.0;0.0;0.0;0.0;0.0;0.0;719.0;0.0;0.0;0.0;6354.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4072.0;0.0;0.0;0.0;b>a>c>d>e;35792.0;14351.0;21441.0;38456.0;5755.0;26092.0;6610.0;2602.0;4761.0;81.0;839.5;11358.0;1069.0;36.0;4811.0;566.0;1649.0;647.0;69.0;0.0;44.0;2428.4;317.8
