;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadãos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Violência doméstica contra cônjuge ou análogos;Furto em veículo motorizado;Furto em residência;Furto em edifício comercial ou industrial
Santa Maria da Feira;64006.0;2792.0;2675.0;0.0;0.0;0.0;0.0;0.0;0.0;2955.0;0.0;0.0;0.0;31019.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24565.0;0.0;0.0;0.0;4341.0;241.0;340.0;386.0;203.0
Santo Tirso;37391.0;0.0;1409.0;0.0;0.0;0.0;2552.0;0.0;0.0;2455.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13051.0;0.0;0.0;0.0;0.0;0.0;17924.0;0.0;0.0;0.0;1376.0;101.0;69.0;67.0;73.0
São João da Madeira;9462.0;225.0;296.0;0.0;0.0;0.0;1000.0;0.0;0.0;620.0;0.0;0.0;0.0;3808.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3513.0;0.0;0.0;0.0;758.0;52.0;49.0;20.0;9.0
Trofa;21100.0;470.0;0.0;0.0;0.0;0.0;437.0;0.0;0.0;809.0;0.0;0.0;0.0;0.0;10092.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9292.0;0.0;0.0;0.0;1041.0;53.0;104.0;79.0;56.0
Vale de Cambra;13080.0;0.0;6382.0;0.0;0.0;0.0;0.0;0.0;0.0;397.0;0.0;0.0;0.0;4683.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1618.0;0.0;0.0;0.0;497.0;38.0;22.0;47.0;15.0
Valongo;37420.0;1797.0;1056.0;0.0;0.0;0.0;0.0;0.0;0.0;3426.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15132.0;0.0;0.0;0.0;0.0;0.0;16009.0;0.0;0.0;0.0;2421.0;220.0;190.0;115.0;137.0
Vila do Conde;36466.0;983.0;1223.0;0.0;0.0;0.0;0.0;0.0;0.0;2009.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14042.0;0.0;0.0;0.0;0.0;0.0;18209.0;0.0;0.0;0.0;2460.0;140.0;260.0;202.0;107.0
Vila Nova de Gaia;127158.0;4266.0;0.0;0.0;0.0;0.0;29797.0;0.0;0.0;8876.0;2087.0;0.0;0.0;0.0;27813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53146.0;0.0;0.0;1173.0;9888.0;935.0;1215.0;678.0;344.0
Boticas;4051.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.0;0.0;0.0;0.0;2748.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.0;0.0;0.0;0.0;204.0;0.0;0.0;5.0;0.0
Chaves;23163.0;0.0;780.0;0.0;0.0;0.0;3706.0;0.0;0.0;1547.0;0.0;0.0;0.0;9767.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7363.0;0.0;0.0;0.0;1383.0;90.0;67.0;61.0;22.0
