;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadãos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Violência doméstica contra cônjuge ou análogos;Furto em veículo motorizado;Furto em residência;Furto em edifício comercial ou industrial
Oleiros;3755.0;0.0;0.0;0.0;0.0;0.0;1614.0;0.0;0.0;54.0;0.0;0.0;0.0;2087.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;6.0;4.0;6.0;0.0
Penamacor;3588.0;0.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1142.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2029.0;0.0;0.0;0.0;186.0;14.0;0.0;15.0;0.0
Proença-a-Nova;4818.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;980.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3738.0;0.0;0.0;0.0;119.0;0.0;10.0;10.0;5.0
Vila Velha de Ródão;2148.0;0.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;81.0;0.0;0.0;0.0;459.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1549.0;0.0;0.0;0.0;95.0;4.0;0.0;15.0;5.0
Abrantes;16685.0;1185.0;1089.0;0.0;0.0;0.0;0.0;0.0;0.0;2400.0;0.0;0.0;0.0;3389.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8622.0;0.0;0.0;0.0;883.0;51.0;26.0;46.0;18.0
Alcanena;6975.0;0.0;0.0;0.0;0.0;0.0;1102.0;0.0;0.0;514.0;0.0;0.0;0.0;0.0;2178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3181.0;0.0;0.0;0.0;415.0;24.0;18.0;36.0;17.0
Constância;2270.0;0.0;0.0;210.0;0.0;0.0;0.0;0.0;0.0;1080.0;0.0;0.0;0.0;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;900.0;0.0;0.0;0.0;172.0;9.0;9.0;7.0;0.0
Entroncamento;7779.0;931.0;522.0;0.0;0.0;0.0;0.0;0.0;0.0;968.0;0.0;0.0;0.0;1768.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3590.0;0.0;0.0;0.0;485.0;41.0;19.0;28.0;15.0
Ferreira do Zêzere;4989.0;0.0;125.0;0.0;0.0;0.0;0.0;0.0;0.0;96.0;0.0;0.0;0.0;2527.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2241.0;0.0;0.0;0.0;291.0;18.0;14.0;31.0;4.0
Mação;4723.0;0.0;110.0;0.0;0.0;0.0;0.0;0.0;0.0;183.0;0.0;0.0;0.0;2642.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1788.0;0.0;0.0;0.0;192.0;12.0;4.0;17.0;0.0
Ourém;21587.0;0.0;0.0;0.0;0.0;0.0;2680.0;0.0;0.0;741.0;0.0;0.0;0.0;0.0;9023.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9143.0;0.0;0.0;0.0;1267.0;62.0;45.0;185.0;69.0
Sardoal;2468.0;0.0;0.0;0.0;0.0;0.0;497.0;0.0;0.0;66.0;0.0;0.0;0.0;1284.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.0;0.0;0.0;0.0;99.0;3.0;5.0;9.0;0.0
Sertã;8803.0;0.0;384.0;0.0;0.0;0.0;160.0;0.0;0.0;141.0;0.0;0.0;0.0;5776.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2342.0;0.0;0.0;0.0;413.0;34.0;31.0;14.0;5.0
Tomar;18112.0;585.0;560.0;0.0;0.0;0.0;3094.0;1369.0;0.0;1827.0;0.0;0.0;0.0;5198.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5479.0;0.0;0.0;0.0;1581.0;125.0;79.0;125.0;23.0
Torres Novas;15597.0;1697.0;587.0;0.0;0.0;0.0;0.0;0.0;0.0;2742.0;0.0;0.0;0.0;2931.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7640.0;0.0;0.0;0.0;1126.0;77.0;62.0;87.0;18.0
Vila de Rei;1986.0;0.0;172.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;0.0;0.0;1096.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;664.0;0.0;0.0;0.0;92.0;0.0;11.0;8.0;0.0
Vila Nova da Barquinha;3419.0;0.0;153.0;0.0;0.0;0.0;0.0;0.0;0.0;513.0;0.0;0.0;0.0;649.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2104.0;0.0;0.0;0.0;189.0;5.0;12.0;0.0;0.0
Almeida;4678.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;0.0;0.0;0.0;0.0;2793.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1715.0;0.0;0.0;0.0;248.0;13.0;13.0;7.0;3.0
Belmonte;3765.0;0.0;103.0;0.0;0.0;0.0;1064.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2298.0;0.0;0.0;0.0;263.0;17.0;11.0;17.0;4.0
Celorico da Beira;5383.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.0;0.0;0.0;0.0;0.0;2317.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2951.0;0.0;0.0;37.0;260.0;23.0;5.0;31.0;6.0
Covilhã;26920.0;503.0;0.0;0.0;0.0;0.0;8144.0;0.0;0.0;3166.0;0.0;0.0;0.0;4318.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10789.0;0.0;0.0;0.0;1109.0;82.0;39.0;47.0;30.0
Figueira de Castelo Rodrigo;4329.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;1743.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2552.0;0.0;0.0;0.0;253.0;15.0;8.0;4.0;8.0
Fornos de Algodres;3627.0;0.0;212.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;1613.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1771.0;0.0;0.0;0.0;126.0;5.0;0.0;5.0;3.0
Fundão;14686.0;0.0;463.0;0.0;0.0;0.0;0.0;0.0;0.0;1186.0;0.0;0.0;0.0;8572.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4134.0;0.0;0.0;331.0;806.0;40.0;26.0;33.0;17.0
Gouveia;8547.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;385.0;0.0;0.0;0.0;0.0;4619.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3543.0;0.0;0.0;0.0;393.0;23.0;18.0;15.0;10.0
Guarda;21817.0;871.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;925.0;576.0;0.0;0.0;0.0;12222.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7223.0;0.0;0.0;0.0;846.0;64.0;33.0;23.0;21.0
Manteigas;2335.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;0.0;1144.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.0;0.0;0.0;0.0;97.0;14.0;5.0;0.0;5.0
Mêda;3782.0;0.0;1186.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;704.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;455.0;0.0;0.0;0.0;1403.0;0.0;0.0;0.0;173.0;3.0;4.0;6.0;3.0
Pinhel;6106.0;0.0;531.0;0.0;0.0;0.0;0.0;0.0;0.0;127.0;0.0;0.0;0.0;3542.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1906.0;0.0;0.0;0.0;235.0;8.0;0.0;6.0;3.0
Sabugal;8125.0;0.0;382.0;0.0;0.0;0.0;0.0;0.0;0.0;152.0;0.0;0.0;0.0;3944.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3405.0;0.0;0.0;242.0;254.0;7.0;0.0;28.0;7.0
Seia;12839.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1014.0;0.0;0.0;0.0;0.0;4042.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7783.0;0.0;0.0;0.0;800.0;51.0;23.0;33.0;10.0
Trancoso;6461.0;0.0;127.0;0.0;0.0;0.0;0.0;0.0;0.0;87.0;0.0;0.0;0.0;2513.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3734.0;0.0;0.0;0.0;292.0;22.0;7.0;12.0;4.0
Alcochete;6583.0;0.0;975.0;0.0;0.0;0.0;0.0;0.0;0.0;3830.0;0.0;0.0;0.0;575.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1203.0;0.0;0.0;0.0;588.0;39.0;72.0;28.0;21.0
Almada;55294.0;3250.0;1502.0;0.0;0.0;0.0;0.0;0.0;1408.0;23466.0;1332.0;0.0;0.0;8440.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15586.0;0.0;0.0;310.0;7200.0;416.0;750.0;726.0;212.0
Amadora;54199.0;3231.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11459.0;910.0;0.0;0.0;0.0;10797.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27203.0;0.0;0.0;599.0;7246.0;275.0;590.0;166.0;57.0
Barreiro;29507.0;1961.0;413.0;0.0;0.0;0.0;0.0;0.0;0.0;14380.0;1028.0;0.0;0.0;2848.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8877.0;0.0;0.0;0.0;3341.0;214.0;172.0;191.0;57.0
Cascais;59598.0;2997.0;0.0;0.0;0.0;0.0;4985.0;0.0;0.0;7366.0;576.0;0.0;0.0;0.0;28004.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;629.0;0.0;14140.0;0.0;0.0;901.0;6809.0;450.0;927.0;591.0;167.0
Lisboa;212890.0;10533.0;0.0;0.0;0.0;0.0;0.0;0.0;5227.0;22519.0;2378.0;0.0;1182.0;0.0;0.0;51156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2814.0;0.0;116425.0;0.0;0.0;656.0;36903.0;1464.0;3579.0;1027.0;570.0
Loures;75916.0;2594.0;2522.0;0.0;0.0;0.0;0.0;0.0;0.0;28572.0;2387.0;0.0;542.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13164.0;0.0;0.0;0.0;0.0;0.0;0.0;25699.0;0.0;0.0;436.0;7270.0;654.0;540.0;288.0;140.0
Mafra;26836.0;0.0;0.0;0.0;1194.0;0.0;0.0;0.0;0.0;3514.0;0.0;0.0;0.0;14049.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8079.0;0.0;0.0;0.0;2196.0;94.0;284.0;205.0;91.0
Moita;22274.0;2022.0;470.0;0.0;0.0;0.0;0.0;0.0;568.0;10918.0;660.0;0.0;0.0;1483.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5947.0;0.0;0.0;206.0;2619.0;201.0;192.0;160.0;73.0
Montijo;15185.0;1085.0;479.0;0.0;0.0;0.0;0.0;0.0;0.0;4300.0;427.0;0.0;0.0;4168.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4726.0;0.0;0.0;0.0;2188.0;93.0;124.0;96.0;50.0
Odivelas;47698.0;2632.0;0.0;0.0;2179.0;0.0;0.0;0.0;0.0;11196.0;750.0;0.0;0.0;9726.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20821.0;0.0;0.0;394.0;3742.0;332.0;420.0;188.0;103.0
Oeiras;62847.0;2554.0;2631.0;0.0;0.0;0.0;23071.0;0.0;1841.0;6309.0;402.0;0.0;0.0;13215.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12638.0;0.0;0.0;186.0;5231.0;483.0;454.0;190.0;57.0
Palmela;17953.0;1047.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9255.0;0.0;0.0;0.0;0.0;2252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5010.0;0.0;0.0;389.0;3192.0;119.0;133.0;340.0;86.0
Seixal;47066.0;3439.0;1438.0;0.0;0.0;0.0;0.0;0.0;0.0;22658.0;717.0;0.0;0.0;5611.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12409.0;0.0;0.0;794.0;5102.0;389.0;325.0;324.0;105.0
Sesimbra;14144.0;860.0;0.0;0.0;0.0;0.0;1349.0;0.0;454.0;6536.0;0.0;0.0;0.0;0.0;1523.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3422.0;0.0;0.0;0.0;2387.0;184.0;237.0;219.0;43.0
Setúbal;36919.0;2267.0;0.0;0.0;0.0;0.0;0.0;0.0;1132.0;16801.0;986.0;0.0;0.0;0.0;5150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10583.0;0.0;0.0;0.0;5005.0;260.0;419.0;318.0;135.0
Sintra;111725.0;5552.0;0.0;0.0;0.0;0.0;33991.0;0.0;2371.0;15362.0;2500.0;1272.0;748.0;0.0;0.0;16945.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32984.0;0.0;0.0;0.0;11495.0;487.0;1315.0;557.0;275.0
Vila Franca de Xira;44384.0;2801.0;1530.0;0.0;0.0;0.0;0.0;0.0;0.0;14957.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6640.0;0.0;0.0;0.0;0.0;0.0;0.0;18456.0;0.0;0.0;0.0;3795.0;322.0;298.0;117.0;91.0
Alcácer do Sal;6423.0;200.0;157.0;0.0;0.0;0.0;0.0;0.0;0.0;3624.0;0.0;0.0;0.0;222.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2220.0;0.0;0.0;0.0;390.0;17.0;29.0;18.0;17.0
Grândola;7854.0;88.0;0.0;0.0;0.0;0.0;3042.0;0.0;0.0;2806.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1918.0;0.0;0.0;0.0;735.0;27.0;71.0;88.0;18.0
Odemira;12409.0;416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3893.0;0.0;0.0;0.0;0.0;1333.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6767.0;0.0;0.0;0.0;863.0;39.0;54.0;70.0;21.0
Santiago do Cacém;12026.0;475.0;276.0;0.0;0.0;0.0;0.0;0.0;0.0;5930.0;0.0;0.0;0.0;1879.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3466.0;0.0;0.0;0.0;722.0;44.0;28.0;32.0;35.0
Sines;6570.0;0.0;94.0;0.0;0.0;0.0;1572.0;0.0;0.0;1084.0;0.0;0.0;0.0;278.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3542.0;0.0;0.0;0.0;599.0;38.0;47.0;29.0;21.0
Aljustrel;6156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2431.0;0.0;0.0;0.0;0.0;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3647.0;0.0;0.0;0.0;239.0;18.0;5.0;0.0;6.0
Almodôvar;4823.0;51.0;0.0;0.0;0.0;0.0;1544.0;0.0;0.0;110.0;0.0;0.0;0.0;1357.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1761.0;0.0;0.0;0.0;167.0;6.0;4.0;5.0;0.0
Alvito;1352.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;640.0;0.0;0.0;0.0;0.0;271.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;441.0;0.0;0.0;0.0;60.0;3.0;0.0;0.0;0.0
Barrancos;1054.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;611.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;443.0;0.0;0.0;0.0;60.0;3.0;0.0;0.0;0.0
Beja;16387.0;0.0;0.0;0.0;0.0;0.0;750.0;0.0;0.0;7438.0;0.0;0.0;0.0;0.0;1064.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7135.0;0.0;0.0;0.0;1034.0;61.0;38.0;24.0;32.0
Castro Verde;3761.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2151.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1401.0;0.0;0.0;0.0;148.0;15.0;11.0;4.0;6.0
Cuba;2975.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1747.0;0.0;0.0;0.0;0.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1144.0;0.0;0.0;0.0;162.0;8.0;3.0;13.0;4.0
Ferreira do Alentejo;4203.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1429.0;0.0;0.0;0.0;0.0;424.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2350.0;0.0;0.0;0.0;280.0;16.0;9.0;27.0;13.0
Mértola;4773.0;0.0;0.0;0.0;0.0;0.0;171.0;0.0;0.0;2159.0;0.0;0.0;0.0;0.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2390.0;0.0;0.0;0.0;184.0;7.0;11.0;7.0;0.0
Moura;6917.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3089.0;0.0;0.0;0.0;0.0;761.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3067.0;0.0;0.0;0.0;437.0;33.0;31.0;15.0;4.0
Ourique;3407.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;461.0;0.0;0.0;0.0;0.0;732.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2214.0;0.0;0.0;0.0;208.0;8.0;10.0;15.0;0.0
Serpa;7405.0;237.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4040.0;0.0;0.0;0.0;389.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2739.0;0.0;0.0;0.0;353.0;21.0;12.0;23.0;10.0
Vidigueira;3107.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1656.0;0.0;0.0;0.0;0.0;248.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1203.0;0.0;0.0;0.0;304.0;13.0;4.0;12.0;6.0
Almeirim;9584.0;0.0;0.0;0.0;0.0;0.0;1313.0;0.0;0.0;1162.0;0.0;0.0;0.0;0.0;0.0;1162.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5947.0;0.0;0.0;0.0;879.0;19.0;46.0;55.0;16.0
Alpiarça;3742.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2139.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;755.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;848.0;0.0;0.0;0.0;239.0;13.0;15.0;27.0;3.0
Azambuja;8660.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2417.0;0.0;0.0;0.0;0.0;0.0;0.0;2262.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3981.0;0.0;0.0;0.0;821.0;47.0;45.0;64.0;26.0
Benavente;8543.0;0.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0;4818.0;0.0;0.0;0.0;1620.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1795.0;0.0;0.0;0.0;1488.0;64.0;124.0;116.0;96.0
Cartaxo;10629.0;313.0;118.0;0.0;0.0;0.0;2821.0;0.0;0.0;1032.0;0.0;0.0;0.0;2212.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4133.0;0.0;0.0;0.0;896.0;44.0;25.0;66.0;24.0
Chamusca;5076.0;184.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.0;0.0;0.0;0.0;0.0;1376.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1795.0;0.0;0.0;0.0;456.0;25.0;10.0;17.0;4.0
Coruche;9539.0;149.0;287.0;0.0;0.0;0.0;0.0;0.0;0.0;2572.0;0.0;0.0;0.0;1171.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5360.0;0.0;0.0;0.0;643.0;26.0;29.0;48.0;20.0
Golegã;3234.0;0.0;0.0;0.0;0.0;0.0;1168.0;0.0;0.0;252.0;0.0;0.0;0.0;0.0;510.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1304.0;0.0;0.0;0.0;174.0;5.0;7.0;0.0;0.0
Rio Maior;9878.0;249.0;0.0;0.0;0.0;0.0;741.0;0.0;0.0;1616.0;0.0;0.0;0.0;0.0;5190.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2082.0;0.0;0.0;0.0;777.0;40.0;51.0;72.0;47.0
Salvaterra de Magos;8006.0;2329.0;0.0;0.0;0.0;0.0;928.0;0.0;0.0;978.0;0.0;0.0;0.0;0.0;943.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2828.0;0.0;0.0;0.0;822.0;40.0;23.0;59.0;24.0
Santarém;25630.0;797.0;717.0;0.0;0.0;0.0;1086.0;0.0;0.0;2872.0;0.0;0.0;0.0;11196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8962.0;0.0;0.0;0.0;2042.0;135.0;132.0;155.0;75.0
Alter do Chão;2023.0;0.0;108.0;0.0;0.0;0.0;0.0;0.0;0.0;291.0;0.0;0.0;0.0;861.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;763.0;0.0;0.0;0.0;94.0;13.0;0.0;0.0;0.0
Arronches;2166.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.0;0.0;0.0;0.0;1154.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;938.0;0.0;0.0;0.0;30.0;4.0;0.0;0.0;4.0
Avis;2635.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1418.0;0.0;0.0;0.0;373.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;844.0;0.0;0.0;0.0;227.0;11.0;6.0;6.0;4.0
Campo Maior;5287.0;39.0;0.0;0.0;0.0;0.0;0.0;1430.0;0.0;320.0;0.0;0.0;0.0;89.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3409.0;0.0;0.0;0.0;299.0;17.0;7.0;28.0;10.0
Castelo de Vide;2107.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;0.0;1305.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;705.0;0.0;0.0;0.0;49.0;4.0;0.0;3.0;0.0
Crato;2440.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;947.0;0.0;0.0;0.0;432.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1061.0;0.0;0.0;0.0;99.0;7.0;0.0;0.0;0.0
Elvas;9106.0;176.0;1124.0;0.0;0.0;0.0;0.0;0.0;0.0;461.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;686.0;0.0;0.0;0.0;0.0;0.0;6659.0;0.0;0.0;0.0;911.0;53.0;35.0;14.0;36.0
Fronteira;2072.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;144.0;0.0;0.0;0.0;1449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;466.0;0.0;0.0;0.0;49.0;6.0;0.0;3.0;0.0
Gavião;2502.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;310.0;0.0;0.0;0.0;858.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1334.0;0.0;0.0;0.0;123.0;8.0;0.0;0.0;0.0
